               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.025767,            0.033947,           0.0020827,             0.91614,             0.84702,             0.91644,             0.66676,            0.022041,             0.05194,           0.0018155,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025338,            0.033679,           0.0020239,             0.91911,             0.84874,             0.91715,             0.66843,             0.02209,             0.05198,           0.0017772,            0.005842,            0.005842,            0.005842
                  86,            0.025449,            0.033551,               0.002,             0.90409,             0.87637,             0.92067,             0.66992,            0.022066,            0.052029,           0.0017904,           0.0057925,           0.0057925,           0.0057925
                  87,             0.02553,            0.033507,           0.0020271,             0.90627,             0.87956,             0.91738,             0.66523,            0.021946,            0.052052,           0.0017493,            0.005743,            0.005743,            0.005743
                  88,            0.025403,            0.033954,           0.0019517,             0.90882,              0.8731,             0.92095,             0.67923,            0.021883,            0.051862,           0.0017812,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025458,            0.033898,            0.002058,             0.91395,             0.87705,             0.92328,             0.67278,            0.021904,            0.051645,           0.0017737,            0.005644,            0.005644,            0.005644
                  90,            0.025142,            0.033851,           0.0019995,              0.9252,             0.86866,             0.92557,             0.67259,            0.021786,             0.05143,            0.001759,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025155,            0.033304,           0.0019664,             0.93364,             0.84469,             0.91994,             0.67229,            0.021847,            0.051345,           0.0017304,            0.005545,            0.005545,            0.005545
                  92,            0.025138,             0.03362,           0.0020001,             0.93492,             0.85835,              0.9238,             0.67205,            0.021745,            0.051071,           0.0016795,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025148,            0.033544,           0.0019873,             0.91772,              0.8667,             0.92454,              0.6786,            0.021643,            0.050963,           0.0016599,            0.005446,            0.005446,            0.005446
                  94,            0.025126,            0.033296,           0.0019607,             0.92479,             0.86644,             0.92163,             0.67314,             0.02162,            0.051053,           0.0017186,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02506,            0.033445,           0.0019231,             0.91075,             0.87665,             0.92102,             0.67915,            0.021584,            0.050831,            0.001726,            0.005347,            0.005347,            0.005347
                  96,            0.025205,            0.033306,           0.0019863,              0.9347,              0.8535,             0.92143,             0.68337,            0.021568,            0.050835,           0.0016913,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024759,            0.033454,           0.0019324,             0.89781,             0.87327,             0.91483,              0.6751,            0.021569,            0.051121,           0.0017258,            0.005248,            0.005248,            0.005248
                  98,            0.024778,             0.03343,           0.0019088,              0.9031,             0.86875,             0.91639,             0.67862,            0.021516,            0.050887,           0.0016625,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024862,            0.033089,           0.0019914,             0.90748,             0.86326,             0.91601,              0.6734,            0.021483,            0.051012,           0.0016548,            0.005149,            0.005149,            0.005149
                 100,            0.024782,            0.033148,           0.0018919,             0.91309,             0.86816,             0.92144,             0.67779,            0.021464,            0.050881,           0.0016322,           0.0050995,           0.0050995,           0.0050995
                 101,             0.02473,            0.032865,           0.0018908,             0.91766,             0.87002,              0.9198,             0.67771,            0.021418,            0.050786,           0.0016299,             0.00505,             0.00505,             0.00505
                 102,            0.024588,            0.033016,            0.001903,             0.90678,              0.8754,             0.91858,             0.67695,            0.021335,             0.05067,           0.0016263,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024613,            0.032893,           0.0018846,             0.93138,              0.8601,             0.91841,             0.67984,            0.021339,            0.050573,           0.0016331,            0.004951,            0.004951,            0.004951
                 104,            0.024371,            0.032455,           0.0019035,             0.91748,             0.86617,             0.91663,             0.67792,            0.021313,             0.05055,           0.0016149,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024459,            0.032528,           0.0018582,             0.92929,             0.86024,             0.91905,             0.68046,            0.021318,            0.050399,           0.0016198,            0.004852,            0.004852,            0.004852
                 106,            0.024461,            0.032286,           0.0018483,             0.91578,              0.8586,             0.92136,             0.68306,            0.021272,            0.050296,           0.0016169,           0.0048025,           0.0048025,           0.0048025
